Gene.ID,Cluster
HORVU.MOREX.r3.1HG0068490,Cluster 2
HORVU.MOREX.r3.1HG0068770,Cluster 2
HORVU.MOREX.r3.1HG0068870,Cluster 2
HORVU.MOREX.r3.1HG0068880,Cluster 2
HORVU.MOREX.r3.1HG0069100,Cluster 2
HORVU.MOREX.r3.1HG0069130,Cluster 2
HORVU.MOREX.r3.1HG0069290,Cluster 2
HORVU.MOREX.r3.1HG0069550,Cluster 2
HORVU.MOREX.r3.1HG0069570,Cluster 2
HORVU.MOREX.r3.1HG0069640,Cluster 2
HORVU.MOREX.r3.1HG0069670,Cluster 2
HORVU.MOREX.r3.1HG0069760,Cluster 2
HORVU.MOREX.r3.1HG0069880,Cluster 2
HORVU.MOREX.r3.1HG0069950,Cluster 2
HORVU.MOREX.r3.1HG0070150,Cluster 2
HORVU.MOREX.r3.1HG0070210,Cluster 2
HORVU.MOREX.r3.1HG0070690,Cluster 2
HORVU.MOREX.r3.1HG0070700,Cluster 2
HORVU.MOREX.r3.1HG0070730,Cluster 2
HORVU.MOREX.r3.1HG0070840,Cluster 2
HORVU.MOREX.r3.1HG0071020,Cluster 2
HORVU.MOREX.r3.1HG0071390,Cluster 2
HORVU.MOREX.r3.1HG0071490,Cluster 2
HORVU.MOREX.r3.1HG0071630,Cluster 2
HORVU.MOREX.r3.1HG0071650,Cluster 2
HORVU.MOREX.r3.1HG0071800,Cluster 2
HORVU.MOREX.r3.1HG0072410,Cluster 2
HORVU.MOREX.r3.1HG0072430,Cluster 2
HORVU.MOREX.r3.1HG0073070,Cluster 2
HORVU.MOREX.r3.1HG0073900,Cluster 2
HORVU.MOREX.r3.1HG0073940,Cluster 2
HORVU.MOREX.r3.1HG0074260,Cluster 2
HORVU.MOREX.r3.1HG0074620,Cluster 2
HORVU.MOREX.r3.1HG0074760,Cluster 2
HORVU.MOREX.r3.1HG0074980,Cluster 2
HORVU.MOREX.r3.1HG0075340,Cluster 2
HORVU.MOREX.r3.1HG0075380,Cluster 2
HORVU.MOREX.r3.1HG0075700,Cluster 2
HORVU.MOREX.r3.1HG0075830,Cluster 2
HORVU.MOREX.r3.1HG0076070,Cluster 2
HORVU.MOREX.r3.1HG0076150,Cluster 2
HORVU.MOREX.r3.1HG0076530,Cluster 2
HORVU.MOREX.r3.1HG0076550,Cluster 2
HORVU.MOREX.r3.1HG0076640,Cluster 2
HORVU.MOREX.r3.1HG0076790,Cluster 2
HORVU.MOREX.r3.1HG0076850,Cluster 2
HORVU.MOREX.r3.1HG0077190,Cluster 2
HORVU.MOREX.r3.1HG0077240,Cluster 2
HORVU.MOREX.r3.1HG0077260,Cluster 2
HORVU.MOREX.r3.1HG0077930,Cluster 2
HORVU.MOREX.r3.1HG0078200,Cluster 2
HORVU.MOREX.r3.1HG0078480,Cluster 2
HORVU.MOREX.r3.1HG0078510,Cluster 2
HORVU.MOREX.r3.1HG0078550,Cluster 2
HORVU.MOREX.r3.1HG0078630,Cluster 2
HORVU.MOREX.r3.1HG0078690,Cluster 2
HORVU.MOREX.r3.1HG0078760,Cluster 2
HORVU.MOREX.r3.1HG0079100,Cluster 2
HORVU.MOREX.r3.1HG0079120,Cluster 2
HORVU.MOREX.r3.1HG0079280,Cluster 2
