Name,logFC,logCPM,pvalue,FDR
HORVU.MOREX.r3.3HG0278170,1.576119766,4.067909743,4.35E-07,3.91E-05
HORVU.MOREX.r3.1HG0092850,2.96874904,1.563882559,4.35E-07,3.91E-05
HORVU.MOREX.r3.3HG0306130,-2.12388287,2.865217707,4.71E-07,4.21E-05
HORVU.MOREX.r3.6HG0542640,1.310304026,5.437125859,5.36E-07,4.76E-05
HORVU.MOREX.r3.3HG0240640,1.3538479,4.955083704,5.55E-07,4.90E-05
HORVU.MOREX.r3.6HG0574250,1.330637639,5.070236261,6.51E-07,5.69E-05
HORVU.MOREX.r3.2HG0213820,1.442447299,7.75793914,6.53E-07,5.69E-05
HORVU.MOREX.r3.2HG0176250,2.332838885,2.443148739,6.55E-07,5.69E-05
HORVU.MOREX.r3.3HG0267770,1.448499034,7.834670292,6.79E-07,5.87E-05
HORVU.MOREX.r3.1HG0021970,1.615540333,9.355885211,7.26E-07,6.24E-05
HORVU.MOREX.r3.3HG0300120,1.431719294,7.730452874,7.45E-07,6.34E-05
HORVU.MOREX.r3.5HG0484690,1.387643888,7.316334324,7.45E-07,6.34E-05
HORVU.MOREX.r3.3HG0301110,1.468166732,8.104500373,8.02E-07,6.78E-05
HORVU.MOREX.r3.4HG0409490,1.361335103,4.760708335,8.31E-07,6.93E-05
HORVU.MOREX.r3.5HG0504260,1.687349754,3.66648544,8.35E-07,6.93E-05
HORVU.MOREX.r3.2HG0213040,1.282201062,6.078983837,8.40E-07,6.93E-05
HORVU.MOREX.r3.2HG0182010,1.299317325,5.246697741,8.40E-07,6.93E-05
HORVU.MOREX.r3.1HG0037500,-1.460907025,8.06462991,8.41E-07,6.93E-05
HORVU.MOREX.r3.1HG0012630,-1.672557274,3.693693843,8.64E-07,7.08E-05
HORVU.MOREX.r3.5HG0494890,-1.441822857,4.360679874,9.23E-07,7.53E-05
HORVU.MOREX.r3.6HG0600160,2.44985832,2.186521568,9.56E-07,7.75E-05
HORVU.MOREX.r3.3HG0229420,1.268341984,5.696121717,1.02E-06,8.17E-05
HORVU.MOREX.r3.2HG0096220,-2.24723043,2.513605567,1.02E-06,8.17E-05
HORVU.MOREX.r3.6HG0612680,-2.382905286,2.266729477,1.06E-06,8.45E-05
HORVU.MOREX.r3.1HG0092830,1.269483948,6.152850993,1.12E-06,8.91E-05
HORVU.MOREX.r3.3HG0331020,1.605565423,9.541734025,1.15E-06,9.11E-05
HORVU.MOREX.r3.3HG0244080,-1.387100459,4.507610801,1.26E-06,9.93E-05
HORVU.MOREX.r3.5HG0524540,1.500117645,8.654974764,1.27E-06,9.93E-05
HORVU.MOREX.r3.5HG0497820,-2.20194097,2.541707829,1.36E-06,0.000105732
HORVU.MOREX.r3.7HG0640130,-2.045108677,2.825550239,1.41E-06,0.000109151
HORVU.MOREX.r3.5HG0487980,1.413388974,4.360967001,1.45E-06,0.000112178
HORVU.MOREX.r3.7HG0710400,-2.572141623,1.882036281,1.48E-06,0.000113455
